Gostaria de solicitar os Dados dos Servidores (efetivos e contratos temporário) e suas Remunerações no primeiro semestre de 2021.            Favor enviar solicitação via E-SIC através do link abaixo  http://tce.rn.gov.br/SIC/Index,"{'question': 'como envio pedido via e-SIC?', 'answer': 'Favor enviar solicitação via E-SIC através do link abaixo http://tce.'}","{'question': 'quantos servidores existem?', 'answer': 'Gostaria de solicitar Dados do Servidor (contratos permanentes e temporários) e sua Remuneração no primeiro semestre de 2021.'}","{'question': 'como solicito dados do servidor?', 'answer': 'gov.'}"
"Sou Luiz Batista ex vereador de Maxaranguape-Rn, veio por meio deste e-mail para solicitar a última folha de pagamento do município de Rio do fogo -Rn com o SAAE.
Desde de já agradeço           favor realizar sua solicitação via sistema SIC https://www.tce.rn.gov.br/SIC/Index.
","{'question': 'quem é o ex vereador de rio do fogo?', 'answer': 'Sou Luiz Batista ex vereador de Maxaranguape-Rn, vim através deste e-mail solicitar a última folha de pagamento do município de Rio do Fogo-Rn junto ao SAAE.'}","{'question': 'onde posso fazer um pedido?', 'answer': 'gov.'}","{'question': 'Qual é a última folha de pagamento de Rio do Fogo?', 'answer': 'br/SIC/Índice.'}"
Sobre a entrega de diligencia é possível fazer de forma on line  ou pessoamente?          Foi informado a usuária que é possível enviar das 2 formas .,"{'question': 'como posso fazer a devida diligência?', 'answer': 'Quanto à entrega da due diligence, é possível fazê-la online ou pessoalmente?'}","{'question': 'como posso enviar due diligence?', 'answer': 'O usuário foi informado que é possível enviar das 2 vias.'}",
Joana – sindlimp - Para encaminhar oficio ?              o envio do oficio deverá ser realizado pelo sistema e-tce.,"{'question': 'como encaminhar uma carta?', 'answer': 'Joana – sindlimp - Para encaminhar ofício?'}","{'question': 'como encaminhar carta oficial?', 'answer': 'a carta deve ser enviada pelo sistema e-tce.'}",
Como protocolar uma defesa ? de forma on line .            pode ser feito de forma on line ou pessoalmente. Este ultimo no horário de 08:00 as 18:00,"{'question': 'como apresentar defesa?', 'answer': 'Como apresentar defesa?'}","{'question': 'como apresentar defesa?', 'answer': 'Pode ser feito online ou presencial.'}","{'question': 'como apresentar defesa?', 'answer': 'on-line.'}"
Antonio – pm afonso bezerra – recebeu citação pra apresentar defesa sobre envio do siai dp e gostaria de saber como proceder.             Foi informado ao usuário que ele poderia enviar pelo sistema online quanto efetuar a entrega fisicamente no tce.,"{'question': 'quem foi intimado para apresentar defesa no envio do siai dp?', 'answer': 'Antonio – pm afonso bezerra – foi intimado para apresentar defesa sobre o envio do siai dp e gostaria de saber como proceder.'}","{'question': 'como afonso bezerra mandou o siai dp?', 'answer': 'O usuário foi informado de que poderia enviá-lo pelo sistema online ou entregá-lo fisicamente no tce.'}",
"05/10  Ivan, É possível baixar processo no site de forma unificada?            Só é possível baixar evento a evento. Caso o processo seja bem grande, é possível solicitar ao setor de protocolo pois os mesmos possuem ferramenta que extrai todo processo de forma unificada.","{'question': 'como posso baixar o processo de forma unificada?', 'answer': '05/10 Ivan, É possível fazer o processo de download no site de forma unificada?'}","{'question': 'como posso baixar evento por evento?', 'answer': 'Só é possível baixar evento por evento.'}","{'question': 'como posso baixar um processo?', 'answer': 'Se o processo for muito grande, é possível solicitar ao setor de protocolos, pois eles possuem uma ferramenta que extrai todo o processo de forma unificada.'}"
Processo físico – consultar teor de decisões            3642-7372 informações sobre processos.,"{'question': 'qual é o processo de uma decisão?', 'answer': 'Processo físico – consultar conteúdo das decisões 3642-7372 informações sobre processos.'}",,
ILDAZIO – usuário relata que portal não identifica o certificado digital -             foi informado ao usuário que é necessário baixar o programa icp bravo Access ,,,
"21/03 - Bom dia, estou tentando recuperar minha senha do E-TCE para fazer um peticionamento, mas não estou conseguindo. Pelo telefone funcional também não estou conseguindo contato. Aguardo solução.                       favor entrar em contato através do número 3642-7275.","{'question': 'como faço para obter uma senha?', 'answer': '21/03 - Bom dia, estou tentando recuperar minha senha do E-TCE para fazer uma petição, mas não estou conseguindo.'}","{'question': 'como faço para entrar em contato?', 'answer': 'Pelo telefone funcional também não estou conseguindo contato.'}","{'question': 'como faço para obter uma senha?', 'answer': 'entre em contato pelo telefone 3642-7275.'}"
